"DATA_CONTABILE","importo","natura_controp","CTP_CAPOGRU","ctp_controp","NATURA_RAPPORTO","infragruppo","location","statoctp","maturity"
20101231,7.2,"BANCA ESTERA NON TICKER",100119,999999,"DEBITI UNSECURED",0,"estero","AFGHANISTAN","overnight"
20101231,0.53,"BANCA ESTERA NON TICKER",100118,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20101231,0.03,"BANCA ESTERA NON TICKER",100118,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","longterm"
20101231,0.89,"BANCA ESTERA NON TICKER",100118,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","nonsignif"
20101231,0.25,"BANCA ESTERA NON TICKER",100118,999999,"SOFFERENZE",0,"estero","ALGERIA","nonsignif"
20101231,0,"BANCA ESTERA NON TICKER",100118,999999,"SOFFERENZE",0,"estero","ALGERIA","overnight"
20101231,0.03,"BANCA ESTERA NON TICKER",100094,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","longterm"
20101231,3.7,"BANCA ESTERA NON TICKER",100119,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20101231,0.46,"BANCA ESTERA NON TICKER",100119,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","nonsignif"
20101231,0.03,"BANCA ESTERA TICKER",100119,100170,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20101231,2.65,"BANCA ESTERA TICKER",100119,100559,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","nonsignif"
20101231,5.99,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","nonsignif"
20101231,3.93,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20101231,88.2,"BANCA ESTERA TICKER",100457,100170,"DEBITI UNSECURED",0,"estero","ALGERIA","nonsignif"
20101231,0.03,"BANCA ESTERA TICKER",100457,100170,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20101231,0.12,"BANCA ESTERA NON TICKER",100729,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20101231,0,"BANCA ESTERA NON TICKER",100729,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","longterm"
20101231,1.57,"BANCA ESTERA TICKER",100730,100536,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","nonsignif"
20101231,0.62,"BANCA ESTERA NON TICKER",100066,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20101231,66.17,"BANCA ESTERA TICKER",100066,100170,"DEBITI UNSECURED",0,"estero","ALGERIA","nonsignif"
20101231,0.03,"BANCA ESTERA TICKER",100066,100170,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20101231,3.83,"BANCA ESTERA TICKER",100066,100066,"IMPIEGHI UNSECURED",1,"estero","ALGERIA","nonsignif"
20101231,0.75,"BANCA ESTERA NON TICKER",100151,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","nonsignif"
20101231,0.24,"BANCA ESTERA NON TICKER",100151,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20101231,0.03,"BANCA ESTERA NON TICKER",100151,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","nonsignif"
20101231,23.47,"BANCA ESTERA NON TICKER",100118,999999,"DEBITI UNSECURED",0,"estero","ANDORRA","nonsignif"
20101231,25,"BANCA ESTERA NON TICKER",100119,999999,"DEBITI UNSECURED",0,"estero","ANDORRA","overnight"
20101231,59.61,"BANCA ESTERA TICKER",100119,100380,"DEBITI UNSECURED",0,"estero","ANDORRA","nonsignif"
20101231,23.95,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ANDORRA","nonsignif"
20101231,43.42,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ANDORRA","overnight"
20101231,50.31,"BANCA ESTERA TICKER",100457,100380,"DEBITI UNSECURED",0,"estero","ANDORRA","nonsignif"
20101231,0.32,"BANCA ESTERA NON TICKER",100118,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","overnight"
20101231,1.47,"BANCA ESTERA NON TICKER",100118,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","longterm"
20101231,3.04,"BANCA ESTERA NON TICKER",100118,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20101231,1,"BANCA ESTERA NON TICKER",100119,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20101231,1.8,"BANCA ESTERA NON TICKER",100119,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","overnight"
20101231,0.59,"BANCA ESTERA NON TICKER",100119,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","longterm"
20101231,4.46,"BANCA ESTERA NON TICKER",100119,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20101231,0,"BANCA ESTERA NON TICKER",100123,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","overnight"
20101231,0.31,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","overnight"
20101231,2.39,"BANCA ESTERA NON TICKER",100457,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20101231,2993.56,"BANCA ESTERA TICKER",100457,100555,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20101231,1.29,"BANCA ESTERA NON TICKER",100463,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20101231,0.2,"BANCA ESTERA NON TICKER",100287,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","longterm"
20101231,0.58,"BANCA ESTERA NON TICKER",100287,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20101231,0.17,"BANCA ESTERA NON TICKER",100730,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20101231,0.08,"BANCA ESTERA NON TICKER",100066,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","overnight"
20101231,1,"BANCA ESTERA NON TICKER",100066,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","longterm"
20101231,0.22,"BANCA ESTERA NON TICKER",100066,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20101231,0.58,"BANCA ESTERA NON TICKER",100398,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20101231,7.48,"BANCA ESTERA NON TICKER",100151,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20101231,0.08,"BANCA ESTERA NON TICKER",100151,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20101231,0.02,"BANCA ESTERA NON TICKER",100118,999999,"DEBITI UNSECURED",0,"estero","ARGENTINA","overnight"
20101231,0.13,"BANCA ESTERA NON TICKER",100118,999999,"IMPIEGHI UNSECURED",0,"estero","ARGENTINA","longterm"
