"DATA_CONTABILE","importo","natura_controp","CTP_CAPOGRU","ctp_controp","NATURA_RAPPORTO","infragruppo","location","statoctp","maturity"
20091231,0.62,"BANCA ESTERA NON TICKER",100118,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20091231,0.03,"BANCA ESTERA NON TICKER",100118,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","longterm"
20091231,0.25,"BANCA ESTERA NON TICKER",100118,999999,"SOFFERENZE",0,"estero","ALGERIA","nonsignif"
20091231,0,"BANCA ESTERA NON TICKER",100118,999999,"SOFFERENZE",0,"estero","ALGERIA","overnight"
20091231,0.16,"BANCA ESTERA TICKER",100118,100066,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","nonsignif"
20091231,0.03,"BANCA ESTERA NON TICKER",100094,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","longterm"
20091231,6.25,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","nonsignif"
20091231,5.41,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20091231,43.59,"BANCA ESTERA TICKER",100457,100170,"DEBITI UNSECURED",0,"estero","ALGERIA","nonsignif"
20091231,11.88,"BANCA ESTERA TICKER",100457,100170,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20091231,0.04,"BANCA ESTERA TICKER",100287,100066,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","nonsignif"
20091231,0.26,"BANCA ESTERA NON TICKER",100729,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20091231,0,"BANCA ESTERA NON TICKER",100729,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","longterm"
20091231,1.26,"BANCA ESTERA NON TICKER",100066,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20091231,34.71,"BANCA ESTERA TICKER",100066,100170,"DEBITI UNSECURED",0,"estero","ALGERIA","nonsignif"
20091231,0.01,"BANCA ESTERA TICKER",100066,100170,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20091231,0.08,"BANCA ESTERA TICKER",100066,100066,"IMPIEGHI UNSECURED",1,"estero","ALGERIA","nonsignif"
20091231,3.05,"BANCA ESTERA NON TICKER",100398,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","nonsignif"
20091231,3.47,"BANCA ESTERA NON TICKER",100151,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","nonsignif"
20091231,0.83,"BANCA ESTERA NON TICKER",100151,999999,"DEBITI UNSECURED",0,"estero","ALGERIA","overnight"
20091231,0.28,"BANCA ESTERA NON TICKER",100151,999999,"IMPIEGHI UNSECURED",0,"estero","ALGERIA","nonsignif"
20091231,0.09,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ANDORRA","overnight"
20091231,0.25,"BANCA ESTERA TICKER",100457,100380,"DEBITI UNSECURED",0,"estero","ANDORRA","nonsignif"
20091231,6.05,"BANCA ESTERA TICKER",100457,100380,"IMPIEGHI UNSECURED",0,"estero","ANDORRA","nonsignif"
20091231,1.44,"BANCA ESTERA TICKER",100457,100551,"DEBITI UNSECURED",0,"estero","ANDORRA","nonsignif"
20091231,0,"BANCA ESTERA NON TICKER",100726,999999,"IMPIEGHI UNSECURED",0,"estero","ANDORRA","nonsignif"
20091231,0.09,"BANCA ESTERA NON TICKER",100118,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","overnight"
20091231,0.1,"BANCA ESTERA NON TICKER",100118,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","longterm"
20091231,0.42,"BANCA ESTERA NON TICKER",100118,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20091231,0,"BANCA ESTERA NON TICKER",100123,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","overnight"
20091231,0.27,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","overnight"
20091231,3.06,"BANCA ESTERA NON TICKER",100457,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20091231,0.09,"BANCA ESTERA NON TICKER",100463,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","longterm"
20091231,2.29,"BANCA ESTERA NON TICKER",100463,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20091231,0.01,"BANCA ESTERA NON TICKER",100287,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","longterm"
20091231,0.34,"BANCA ESTERA NON TICKER",100287,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20091231,0.44,"BANCA ESTERA NON TICKER",100066,999999,"DEBITI UNSECURED",0,"estero","ARABIA SAUDITA","overnight"
20091231,0.17,"BANCA ESTERA NON TICKER",100066,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","longterm"
20091231,1.25,"BANCA ESTERA NON TICKER",100066,999999,"IMPIEGHI UNSECURED",0,"estero","ARABIA SAUDITA","nonsignif"
20091231,0.02,"BANCA ESTERA NON TICKER",100118,999999,"DEBITI UNSECURED",0,"estero","ARGENTINA","overnight"
20091231,1.17,"BANCA ESTERA NON TICKER",100118,999999,"SOFFERENZE",0,"estero","ARGENTINA","nonsignif"
20091231,2.09,"BANCA ESTERA NON TICKER",100457,999999,"DEBITI UNSECURED",0,"estero","ARGENTINA","overnight"
