"DATA_CONTABILE","importo","natura_controp","CTP_CAPOGRU","ctp_controp","NATURA_RAPPORTO","infragruppo","location","statoctp","maturity"
20110630,1290.82,"BANCA ITALIANA",100118,100118,"DEBITI SECURED",1,"domest","ITALIA","nonsignif"
20110630,700.44,"BANCA ITALIANA",100118,100118,"DEBITI UNSECURED",1,"domest","ITALIA","longterm"
20110630,11353.73,"BANCA ITALIANA",100118,100118,"DEBITI UNSECURED",1,"domest","ITALIA","nonsignif"
20110630,11121.39,"BANCA ITALIANA",100118,100118,"DEBITI UNSECURED",1,"domest","ITALIA","overnight"
20110630,1.51,"BANCA ITALIANA",100118,100092,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,79.76,"BANCA ITALIANA",100118,100093,"DEBITI SECURED",0,"domest","ITALIA","nonsignif"
20110630,0.01,"BANCA ITALIANA",100118,100093,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,15.29,"BANCA ITALIANA",100118,100094,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,61.03,"BANCA ITALIANA",100118,100095,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,16.49,"BANCA ITALIANA",100118,100097,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.07,"BANCA ITALIANA",100118,100098,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0,"BANCA ITALIANA",100118,100099,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,1.41,"BANCA ITALIANA",100118,100100,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.03,"BANCA ITALIANA",100118,100102,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,98.91,"BANCA ITALIANA",100118,100119,"DEBITI SECURED",0,"domest","ITALIA","nonsignif"
20110630,112.63,"BANCA ITALIANA",100118,100119,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,17.27,"BANCA ITALIANA",100118,100121,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,5.59,"BANCA ITALIANA",100118,100123,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,322.58,"BANCA ITALIANA",100118,100457,"DEBITI SECURED",0,"domest","ITALIA","nonsignif"
20110630,134.13,"BANCA ITALIANA",100118,100457,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.17,"BANCA ITALIANA",100118,100461,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,44.1,"BANCA ITALIANA",100118,100463,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.04,"BANCA ITALIANA",100118,100464,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.68,"BANCA ITALIANA",100118,100465,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.01,"BANCA ITALIANA",100118,100466,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,1.3,"BANCA ITALIANA",100118,100467,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,10.87,"BANCA ITALIANA",100118,100040,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.91,"BANCA ITALIANA",100118,100045,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.45,"FILIAZIONE ITALIANA BANCA ESTERA",100118,100050,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.03,"BANCA ITALIANA",100118,100051,"DEBITI UNSECURED",0,"domest","ITALIA","nonsignif"
20110630,75.78,"BANCA ITALIANA",100118,100051,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,1.51,"BANCA ITALIANA",100118,100261,"DEBITI UNSECURED",0,"domest","ITALIA","nonsignif"
20110630,16.14,"BANCA ITALIANA",100118,100261,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.74,"BANCA ITALIANA",100118,100272,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,6.06,"BANCA ITALIANA",100118,100273,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0,"BANCA ITALIANA",100118,100053,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,5,"BANCA ITALIANA",100118,100063,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,14.82,"BANCA ITALIANA",100118,100362,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,4,"BANCA ITALIANA",100118,100128,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,24.82,"BANCA ITALIANA",100118,100133,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.01,"BANCA ITALIANA",100118,100364,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,44.09,"BANCA ITALIANA",100118,100365,"DEBITI SECURED",0,"domest","ITALIA","nonsignif"
20110630,113.93,"BANCA ITALIANA",100118,100278,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,1.87,"BANCA ITALIANA",100118,100280,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,16.25,"BANCA ITALIANA",100118,100281,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,3.34,"BANCA ITALIANA",100118,100284,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,35.71,"BANCA ITALIANA",100118,100287,"DEBITI SECURED",0,"domest","ITALIA","nonsignif"
20110630,14.33,"BANCA ITALIANA",100118,100287,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,1.12,"BANCA ITALIANA",100118,100288,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.99,"BANCA ITALIANA",100118,100289,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.39,"BANCA ITALIANA",100118,100292,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,1.75,"BANCA ITALIANA",100118,100297,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,6.37,"BANCA ITALIANA",100118,100298,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.76,"BANCA ITALIANA",100118,100299,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,19,"BANCA ITALIANA",100118,100302,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,1.14,"BANCA ITALIANA",100118,100303,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,9.11,"BANCA ITALIANA",100118,100304,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,9.95,"BANCA ITALIANA",100118,100305,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,30.04,"BANCA ITALIANA",100118,100308,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,1.63,"BANCA ITALIANA",100118,100309,"DEBITI SECURED",0,"domest","ITALIA","nonsignif"
20110630,3.36,"BANCA ITALIANA",100118,100309,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.1,"BANCA ITALIANA",100118,100310,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,27.2,"BANCA ITALIANA",100118,100714,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,1.36,"BANCA ITALIANA",100118,100716,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0,"BANCA ITALIANA",100118,100717,"DEBITI UNSECURED",0,"domest","ITALIA","longterm"
20110630,7.23,"BANCA ITALIANA",100118,100717,"DEBITI UNSECURED",0,"domest","ITALIA","nonsignif"
20110630,5.13,"BANCA ITALIANA",100118,100717,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,3.6,"BANCA ITALIANA",100118,100718,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.29,"BANCA ITALIANA",100118,100721,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.1,"BANCA ITALIANA",100118,100722,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.74,"BANCA ITALIANA",100118,100756,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.39,"BANCA ITALIANA",100118,100760,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,1.69,"BANCA ITALIANA",100118,100724,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.01,"BANCA ITALIANA",100118,100729,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,7.43,"BANCA ITALIANA",100118,100730,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.1,"BANCA ITALIANA",100118,100731,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.36,"BANCA ITALIANA",100118,100732,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.52,"BANCA ITALIANA",100118,100734,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,1.06,"BANCA ITALIANA",100118,100736,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.57,"BANCA ITALIANA",100118,100738,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,10,"BANCA ITALIANA",100118,100740,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.07,"BANCA ITALIANA",100118,100741,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,3,"BANCA ITALIANA",100118,100743,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.02,"BANCA ITALIANA",100118,100744,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,2.11,"BANCA ITALIANA",100118,100473,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,2,"BANCA ITALIANA",100118,100478,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,26.03,"BANCA ITALIANA",100118,100479,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,10,"BANCA ITALIANA",100118,100480,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.16,"BANCA ITALIANA",100118,100483,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.46,"BANCA ITALIANA",100118,100488,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.6,"BANCA ITALIANA",100118,100490,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.55,"BANCA ITALIANA",100118,100698,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.45,"BANCA ITALIANA",100118,100699,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,3.67,"BANCA ITALIANA",100118,100700,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,2,"BANCA ITALIANA",100118,100704,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,3.65,"BANCA ITALIANA",100118,100706,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,2.49,"BANCA ITALIANA",100118,100709,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,5.72,"BANCA ITALIANA",100118,100311,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.03,"BANCA ITALIANA",100118,100340,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,11.1,"BANCA ITALIANA",100118,100343,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,14.24,"BANCA ITALIANA",100118,100430,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,13.94,"BANCA ITALIANA",100118,100450,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,2,"BANCA ITALIANA",100118,100585,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.09,"BANCA ITALIANA",100118,100587,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,3.31,"BANCA ITALIANA",100118,100588,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.11,"BANCA ITALIANA",100118,100590,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,4,"BANCA ITALIANA",100118,100591,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.08,"BANCA ITALIANA",100118,100593,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,7.54,"BANCA ITALIANA",100118,100599,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.02,"BANCA ITALIANA",100118,100602,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.5,"BANCA ITALIANA",100118,100781,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,5.17,"BANCA ITALIANA",100118,100783,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.05,"BANCA ITALIANA",100118,100786,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0.08,"BANCA ITALIANA",100118,100789,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,10.64,"BANCA ITALIANA",100118,100610,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,1.52,"BANCA ITALIANA",100118,100618,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,15.09,"BANCA ITALIANA",100118,100621,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,0,"BANCA ITALIANA",100118,100624,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,18.23,"BANCA ITALIANA",100118,100626,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,12,"BANCA ITALIANA",100118,100640,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,1.81,"BANCA ITALIANA",100118,100646,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,12.58,"BANCA ITALIANA",100118,100664,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
20110630,11,"BANCA ITALIANA",100118,100671,"DEBITI UNSECURED",0,"domest","ITALIA","overnight"
